#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
92,1,Christian Winkgen 1,7,7,3:08.676,"47,7",22:17.452,10:24:14.231,33,166,28,,FR-20127,0,,M
93,6,Bernhard Böhler 6,7,7,3:08.377,"47,8",22:18.653,10:24:15.432,39,215,28,,TH-71610,0,,M
94,13,Daniel Fenn 13,4,7,3:12.582,"46,7",22:37.952,10:24:34.731,45,165,28,,RS-44911,0,,M
95,40,Alexander Kamminga 40,6,7,3:53.081,"38,6",22:53.298,10:24:50.077,49,145,26,,SW-51561,0,,M
96,4,Jan van Steeg 4,6,7,3:52.840,"38,7",22:53.589,10:24:50.368,46,147,26,,RG-75621,0,,M
97,28,Ymte Sijbrandij 28,8,8,2:57.249,"50,8",23:53.291,10:25:50.070,42,147,27,,FL-59825,0,,M
98,12,Nici Walde 12,8,8,2:55.216,"51,4",23:56.374,10:25:53.153,49,123,27,,RS-39204,0,,F
99,7,Swannette Tempelman 7,7,8,3:21.892,"44,6",24:05.137,10:26:01.916,54,172,28,,HL-85304,0,,F
100,41,Hanno Habighorst 41,8,8,3:02.156,"49,4",24:20.750,10:26:17.529,47,109,26,,FL-67553,0,,M
101,2,Jan Kranczoch 2,6,8,3:59.894,"37,5",24:25.847,10:26:22.626,53,154,26,,RF-87962,0,,M
102,30,Bo Gustavsson 30,8,8,3:06.121,"48,4",24:37.566,10:26:34.345,54,122,26,,CK-85561,0,,M
103,24,Peter Coppens 24,8,8,3:10.525,"47,2",25:21.054,10:27:17.833,44,126,25,,FL-79890,0,,M
104,1,Christian Winkgen 1,8,8,3:09.424,"47,5",25:26.876,10:27:23.655,35,161,25,,FR-20127,0,,M
105,6,Bernhard Böhler 6,8,8,3:09.549,"47,5",25:28.202,10:27:24.981,39,223,25,,TH-71610,0,,M
106,13,Daniel Fenn 13,5,8,2:53.333,"51,9",25:31.285,10:27:28.064,47,166,25,,RS-44911,0,,M
107,35,Maarten Sijbrandij 35,7,8,3:41.921,"40,6",25:50.786,10:27:47.565,50,188,25,,FX-12737,0,,M
108,4,Jan van Steeg 4,7,8,3:52.469,"38,7",26:46.058,10:28:42.837,51,146,26,,RG-75621,0,,M
109,40,Alexander Kamminga 40,7,8,3:53.266,"38,6",26:46.564,10:28:43.343,51,148,26,,SW-51561,0,,M
110,12,Nici Walde 12,9,9,2:52.355,"52,2",26:48.729,10:28:45.508,48,126,26,,RS-39204,0,,F
111,28,Ymte Sijbrandij 28,9,9,2:57.986,"50,6",26:51.277,10:28:48.056,45,149,26,,FL-59825,0,,M
112,41,Hanno Habighorst 41,9,9,2:57.539,"50,7",27:18.289,10:29:15.068,43,107,26,,FL-67553,0,,M
113,7,Swannette Tempelman 7,8,9,3:24.928,"43,9",27:30.065,10:29:26.844,55,171,27,,HL-85304,0,,F
114,30,Bo Gustavsson 30,9,9,3:02.005,"49,4",27:39.571,10:29:36.350,53,121,25,,CK-85561,0,,M
115,2,Jan Kranczoch 2,7,9,3:57.765,"37,9",28:23.612,10:30:20.391,52,154,25,,RF-87962,0,,M
116,13,Daniel Fenn 13,6,9,2:53.241,52,28:24.526,10:30:21.305,43,165,25,,RS-44911,0,,M
117,24,Peter Coppens 24,9,9,3:09.656,"47,5",28:30.710,10:30:27.489,40,126,26,,FL-79890,0,,M
118,1,Christian Winkgen 1,9,9,3:06.075,"48,4",28:32.951,10:30:29.730,26,161,26,,FR-20127,0,,M
119,6,Bernhard Böhler 6,9,9,3:05.778,"48,4",28:33.980,10:30:30.759,36,215,26,,TH-71610,0,,M
120,35,Maarten Sijbrandij 35,8,9,3:46.021,"39,8",29:36.807,10:31:33.586,52,188,25,,FX-12737,0,,M
121,12,Nici Walde 12,10,10,2:55.184,"51,4",29:43.913,10:31:40.692,48,125,25,,RS-39204,0,,F
122,28,Ymte Sijbrandij 28,10,10,2:56.203,"51,1",29:47.480,10:31:44.259,46,147,25,,FL-59825,0,,M
123,41,Hanno Habighorst 41,10,10,2:52.494,"52,2",30:10.783,10:32:07.562,43,105,24,,FL-67553,0,,M
124,4,Jan van Steeg 4,8,10,3:55.829,"38,2",30:41.887,10:32:38.666,51,146,25,,RG-75621,0,,M
125,40,Alexander Kamminga 40,8,10,3:55.911,"38,1",30:42.475,10:32:39.254,51,150,25,,SW-51561,0,,M
126,30,Bo Gustavsson 30,10,10,3:08.231,"47,8",30:47.802,10:32:44.581,52,122,28,,CK-85561,0,,M
127,7,Swannette Tempelman 7,9,10,3:25.382,"43,8",30:55.447,10:32:52.226,54,171,30,,HL-85304,0,,F
128,13,Daniel Fenn 13,7,10,2:52.214,"52,3",31:16.740,10:33:13.519,46,163,24,,RS-44911,0,,M
129,24,Peter Coppens 24,10,10,3:07.216,"48,1",31:37.926,10:33:34.705,44,127,26,,FL-79890,0,,M
130,1,Christian Winkgen 1,10,10,3:05.667,"48,5",31:38.618,10:33:35.397,29,163,26,,FR-20127,0,,M
131,6,Bernhard Böhler 6,10,10,3:05.835,"48,4",31:39.815,10:33:36.594,39,215,26,,TH-71610,0,,M
